model,dataset,group,wer,n_samples,n_used,n_empty_ref_skipped,n_empty_predictions
fold_00_supcon_stage3-no-freeze-10k,l2_arctic_cv_test,ALL,0.3495962892973716,650,650,0,0
fold_00_supcon_stage3-no-freeze,l2_arctic_cv_test,ALL,0.34942449750901905,650,650,0,0
fold_00_supcon_stage3,l2_arctic_cv_test,ALL,0.33379144476894007,650,650,0,0
fold_00_supcon_stage3_10k,l2_arctic_cv_test,ALL,0.36986772032296855,650,650,0,0
fold_00_supcon_stage3_30k,l2_arctic_cv_test,ALL,0.3088816354578251,650,650,0,0
fold_00_supcon_stage3_30k_B,l2_arctic_cv_test,ALL,0.2697131077134513,650,650,0,0
fold_00_supcon_stage3_30k_C,l2_arctic_cv_test,ALL,0.33207352688541486,650,650,0,0
hubert_large,l2_arctic_cv_test,ALL,0.16904311973887648,650,650,0,0
wav2vec2_large_960h,l2_arctic_cv_test,ALL,0.26284143617935063,650,650,0,1
whisper_large_v3,l2_arctic_cv_test,ALL,0.11166466242913589,650,650,0,0
xlsr53_english,l2_arctic_cv_test,ALL,0.19927847448891942,650,650,0,0
fold_00_supcon_stage3-no-freeze-10k,librispeech_test_clean,ALL,0.09896460843373495,2620,2620,0,0
fold_00_supcon_stage3-no-freeze,librispeech_test_clean,ALL,0.09898343373493976,2620,2620,0,0
fold_00_supcon_stage3,librispeech_test_clean,ALL,0.07210090361445783,2620,2620,0,0
fold_00_supcon_stage3_10k,librispeech_test_clean,ALL,0.10764307228915662,2620,2620,0,0
fold_00_supcon_stage3_30k,librispeech_test_clean,ALL,0.06428840361445783,2620,2620,0,0
fold_00_supcon_stage3_30k_B,librispeech_test_clean,ALL,0.18518448795180723,2620,2620,0,1
fold_00_supcon_stage3_30k_C,librispeech_test_clean,ALL,0.0667921686746988,2620,2620,0,0
hubert_large,librispeech_test_clean,ALL,0.021140813253012047,2620,2620,0,0
wav2vec2_large_960h,librispeech_test_clean,ALL,0.15657003012048193,2620,2620,0,28
whisper_large_v3,librispeech_test_clean,ALL,0.02368222891566265,2620,2620,0,0
xlsr53_english,librispeech_test_clean,ALL,0.06810993975903615,2620,2620,0,0
