model,l2_arctic_cv_test,librispeech_test_clean
fold_00_supcon_stage3,33.379144476894005,7.210090361445783
fold_00_supcon_stage3-no-freeze,34.94244975090191,9.898343373493976
fold_00_supcon_stage3-no-freeze-10k,34.95962892973716,9.896460843373495
fold_00_supcon_stage3_10k,36.986772032296855,10.764307228915662
fold_00_supcon_stage3_30k,30.88816354578251,6.428840361445783
fold_00_supcon_stage3_30k_B,26.97131077134513,18.518448795180724
fold_00_supcon_stage3_30k_C,33.207352688541484,6.679216867469879
hubert_large,16.904311973887648,2.1140813253012047
wav2vec2_large_960h,26.28414361793506,15.657003012048193
whisper_large_v3,11.16646624291359,2.368222891566265
xlsr53_english,19.927847448891942,6.810993975903615
